study,arm_id,config_id,temperature,kernel,samples,seeds,branch,validity_mean,validity_sample_sd,uniqueness_mean,uniqueness_sample_sd,quality_mean,quality_sample_sd,diversity_mean,diversity_sample_sd,complete,scheduled_samples,accepted_samples,completed_seeds,status_counts
V5,E,e_t050_p100,0.5,128P,128,1200/1201,released_comparable,0.9765625,0.011048543456039806,1.0,0.0,0.453125,0.06629126073623882,0.892145737755472,0.005508692983862273,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,E,e_t050_p100,0.5,128P,128,1200/1201,strict,0.4765625,0.011048543456039806,1.0,0.0,0.2265625,0.05524271728019903,0.8784674397560253,0.0021270597792448953,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,E,e_t070_p100,0.7,128P,128,1200/1201,released_comparable,0.984375,0.0,0.9920634920634921,0.01122391716169127,0.453125,0.11048543456039805,0.8993512838650037,0.0028093307560282,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,E,e_t070_p100,0.7,128P,128,1200/1201,strict,0.40625,0.11048543456039805,1.0,0.0,0.2109375,0.09943689110435824,0.8717806228941776,0.015267632871773818,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,E,e_t085_p100,0.85,128P,128,1200/1201,released_comparable,0.9453125,0.011048543456039806,0.9668032786885246,0.02376342461364629,0.3984375,0.03314563036811941,0.9037523722061618,0.005417307600586574,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,E,e_t085_p100,0.85,128P,128,1200/1201,strict,0.3203125,0.03314563036811941,1.0,0.0,0.1328125,0.03314563036811941,0.8833320231651525,0.010081615027221099,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,E,e_t100_p100,1.0,128P,128,1200/1201,released_comparable,0.9375,0.04419417382415922,0.9913793103448276,0.012191496227354291,0.359375,0.06629126073623882,0.9200869700065286,0.011520447763677269,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,E,e_t100_p100,1.0,128P,128,1200/1201,strict,0.1796875,0.03314563036811941,1.0,0.0,0.09375,0.04419417382415922,0.8838851717914283,0.0066477220109931005,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,S,s_t050_p100,0.5,128P,128,1200/1201,released_comparable,0.9765625,0.011048543456039806,0.9919354838709677,0.011404948083653983,0.4140625,0.14363106492851746,0.896685911226746,0.00429821896176722,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,S,s_t050_p100,0.5,128P,128,1200/1201,strict,0.6015625,0.011048543456039806,1.0,0.0,0.234375,0.08838834764831845,0.8780630912849505,0.0035975062360352962,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,S,s_t070_p100,0.7,128P,128,1200/1201,released_comparable,0.9765625,0.011048543456039806,1.0,0.0,0.421875,0.1988737822087165,0.8982502277920321,0.006396237359391458,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,S,s_t070_p100,0.7,128P,128,1200/1201,strict,0.4296875,0.011048543456039806,1.0,0.0,0.2109375,0.011048543456039806,0.8641193761081354,0.004221310222344754,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,S,s_t085_p100,0.85,128P,128,1200/1201,released_comparable,0.9609375,0.011048543456039806,1.0,0.0,0.5078125,0.05524271728019903,0.9044678668809303,0.0043761557678982255,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,S,s_t085_p100,0.85,128P,128,1200/1201,strict,0.3984375,0.05524271728019903,1.0,0.0,0.2421875,0.03314563036811941,0.8712624272994314,0.003614746137389866,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,S,s_t100_p100,1.0,128P,128,1200/1201,released_comparable,0.9296875,0.07733980419227864,0.9841269841269842,0.02244783432338246,0.3203125,0.011048543456039806,0.9242190971827071,0.005256226408390791,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,S,s_t100_p100,1.0,128P,128,1200/1201,strict,0.25,0.0,1.0,0.0,0.1171875,0.011048543456039806,0.8859499534687945,0.0015130352229571278,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,R,r_t050_p100,0.5,128P,128,1200/1201,released_comparable,0.9921875,0.011048543456039806,1.0,0.0,0.484375,0.04419417382415922,0.8808509394641746,0.0009642266970439074,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,R,r_t050_p100,0.5,128P,128,1200/1201,strict,0.6328125,0.05524271728019903,1.0,0.0,0.296875,0.04419417382415922,0.868616926746705,0.0007182216602339851,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,R,r_t070_p100,0.7,128P,128,1200/1201,released_comparable,0.9765625,0.03314563036811941,1.0,0.0,0.4453125,0.011048543456039806,0.8941843302287331,0.0018594844340658904,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,R,r_t070_p100,0.7,128P,128,1200/1201,strict,0.4609375,0.011048543456039806,1.0,0.0,0.1953125,0.05524271728019903,0.8748622619145763,0.0015510502075268765,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,R,r_t085_p100,0.85,128P,128,1200/1201,released_comparable,0.96875,0.02209708691207961,0.9920634920634921,0.01122391716169127,0.359375,0.06629126073623882,0.9113942453499935,0.002028863035777044,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,R,r_t085_p100,0.85,128P,128,1200/1201,strict,0.3984375,0.03314563036811941,1.0,0.0,0.2109375,0.05524271728019903,0.8771887328184046,0.01026624947728455,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,R,r_t100_p100,1.0,128P,128,1200/1201,released_comparable,0.9375,0.0,0.9916666666666667,0.011785113019775828,0.3046875,0.011048543456039806,0.9109993996676083,0.005079776081854843,True,128,128,"[1200, 1201]","{""completed"": 2}"
V5,R,r_t100_p100,1.0,128P,128,1200/1201,strict,0.375,0.06629126073623882,1.0,0.0,0.140625,0.02209708691207961,0.8810548521823776,0.0029934141769675446,True,128,128,"[1200, 1201]","{""completed"": 2}"
V6,E,e_t050_predictor,0.5,128P,128,1300/1301,released_comparable,0.96875,0.0,0.9919354838709677,0.011404948083653983,0.46875,0.08838834764831845,0.8958885040809719,0.010196726745709128,True,128,128,"[1300, 1301]","{""completed"": 2}"
V6,E,e_t050_predictor,0.5,128P,128,1300/1301,strict,0.5390625,0.05524271728019903,1.0,0.0,0.3125,0.02209708691207961,0.8874305814012682,0.005565294849627014,True,128,128,"[1300, 1301]","{""completed"": 2}"
V6,E,e_t050_gibbs,0.5,64P+64G,128,1300/1301,released_comparable,0.984375,0.02209708691207961,0.9841229838709677,0.00035640462761417715,0.515625,0.06629126073623882,0.88856683468826,0.0033007004642875946,True,128,128,"[1300, 1301]","{""completed"": 2}"
V6,E,e_t050_gibbs,0.5,64P+64G,128,1300/1301,strict,0.5546875,0.09943689110435824,1.0,0.0,0.296875,0.0,0.8744490314753801,0.0028564931847266124,True,128,128,"[1300, 1301]","{""completed"": 2}"
